id,name,desc,desc1
1,Geister,Stelle 6 Mädchen der [c][0195c5]Geister-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
2,Menschen,Stelle 6 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
3,Monster,Stelle 6 Mädchen der [c][0069cc]Monster-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
4,Feen,Stelle 6 Mädchen der [c][369900]Feen-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
5,Dämonen,Stelle 6 Mädchen der [c][9227cc]Dämonen-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
6,Engel,Stelle 6 Mädchen der [c][d76500]Engel-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
7,Regenbogen,Stellen 6 Mädchen der [c][000000]verschiedenen Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
8,Himmel und Erde,Stelle 3 Mädchen der [c][9227cc]Dämonen-Fraktion[-][/c] und 3 Mädchen der [c][d76500]Engel-Faktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
9,Dunkel,"Stelle 2 Mädchen der [c][9227cc]Dämonen-Fraktion[-][/c], 2 Mädchen der [c][0195c5]Geister-Faktion[-][/c] und 2 Mädchen der [c][cc0011]Monster-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.",
10,Licht,"Stelle 2 Mädchen der [c][d76500]Engel-Fraktion[-][/c], 2 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c] und 2 Mädchen der [c][369900]Feen-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.",
11,Gleichgewicht,Stelle 3 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c] und 3 Mädchen der [c][369900]Feen-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen..,
12,Gespenst,Stelle 3 Mädchen der [c][0195c5]Geister-Fraktion[-][/c] und 3 Mädchen der [c][cc0011]Monster-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
13,Ansteckung,Stelle 3 Mädchen der [c][cc0011]Monster-Fraktion[-][/c] und 3 Mädchen der [c][369900]Feen-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen..,
14,Mutation,Stelle 3 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c] und 3 Mädchen der [c][cc0011]Monster-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
15,Symbiose,Stelle 3 Mädchen der [c][0195c5]Geister-Fraktion[-][/c] und 3 Mädchen der [c][369900]Feen-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
16,Leben und Tod,Stelle 3 Mädchen der [c][0195c5]Geister-Fraktion[-][/c] und 3 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c] ein um deinem Team einen Bonus zu verleihen.,
17,Chaos,"Stelle 3 Mädchen der [c][d76500]Engel-[-][/c] oder [c][9227cc]Dämonen-[-][/c]Fraktion und 3 Mädchen der verschiedenen Fraktionen einschließlich [c][0195c5]Geister[-][/c], [c][0069cc]Menschen[-][/c], [c][cc0011]Monster[-][/c] und [c][369900]Feen[-][/c] ein, um deinem Team einen Bonus zu verleihen.",
18,Verkleidung,"Stelle 3 Mädchen der [c][0195c5]Geister-Fraktion[-][/c], 2 Mädchen der [c][369900]Feen-Fraktion[-][/c] und 1 Mädchen der [c][cc0011]Monster-Fraktion[-][/c] ein, um deinem Team einen Bonus zu verleihen.",
19,Beharrlichkeit,"Stelle 3 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c], 2 Mädchen der [c][cc0011]Monster-Fraktion[-][/c] und 1 Mädchen der [c][369900]Feen-Fraktion[-][/c] ein, um deinem Team einen Bonus zu verleihen.",
20,Integration,"Stelle 3 Mädchen der [c][cc0011]Monster-Fraktion[-][/c], 2 Mädchen der [c][0195c5]Geister-Fraktion[-][/c] und 1 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c] ein, um deinem Team einen Bonus zu verleihen.",
21,Harmonie,"Stelle 3 Mädchen der [c][369900]Feen-Fraktion[-][/c] und 2 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c] und 1 Mädchen der [c][0195c5]Geister-Fraktion[-][/c] ein, um deinem Team einen Bonus zu verleihen.",
22,Behinderung,"Stelle 2 Mädchen der [c][369900]Feen-Fraktion[-][/c], 2 Mädchen der [c][0195c5]Geister-Fraktion[-][/c] und 2 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c] ein, um deinem Team einen Bonus zu verleihen.",
23,Zusammenhalt,"Stelle 2 Mädchen der [c][0195c5]Geister-Fraktion[-][/c], 2 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c] und 2 Mädchen der [c][cc0011]Monster-Fraktion[-][/c] ein, um deinem Team einen Bonus zu verleihen.",
24,Evolution,"Stelle 2 Mädchen der [c][0069cc]Menschen-Fraktion[-][/c], 2 Mädchen der [c][cc0011]Monster-Fraktion[-][/c] und 2 Mädchen der [c][369900]Feen-Fraktion[-][/c] ein, um deinem Team einen Bonus zu verleihen.",
25,Neugeboren,"Stelle 2 Mädchen der [c][cc0011]Monster-Fraktion[-][/c], 2 Mädchen der [c][369900]Feen-Fraktion[-][/c] und 2 Mädchen der [c][0195c5]Geister-Fraktion[-][/c] ein, um deinem Team einen Bonus zu verleihen.",
26,Meteore,Der Menge der aufgestellten Mädchen der [c][000000]Meteore-Fraktion[-][/c] entsprechend werden deinem Team starke Boni verliehen.,Insg. {1} aufgestellt
