id,name,desc
110101,Stand.vers. Lv.1,"Nachdem du die Erinnerung angesehen hast, erhältst du zufällig eine der folgenden Belohnungen: Münzen / EXP-Saft / Kristallmeißel / Brotdosen/Dias."
110102,Stand.vers. Lv.2,"Nachdem du die Erinnerung angesehen hast, erhältst du zufällig eine der folgenden Belohnungen: Münzen / EXP-Saft / Kristallmeißel / Brotdosen/Dias."
110103,Stand.vers. Lv.3,"Nachdem du die Erinnerung angesehen hast, erhältst du zufällig eine der folgenden Belohnungen: Münzen / EXP-Saft / Kristallmeißel / Brotdosen/Dias."
110104,Stand.vers. Lv.4,"Nachdem du die Erinnerung angesehen hast, erhältst du zufällig eine der folgenden Belohnungen: Münzen / EXP-Saft / Kristallmeißel / Brotdosen/Dias."
110105,Stand.vers. Lv.5,"Nachdem du die Erinnerung angesehen hast, erhältst du zufällig eine der folgenden Belohnungen: Münzen / EXP-Saft / Kristallmeißel / Brotdosen/Dias."
110106,Stand.vers. Lv.6,"Nachdem du die Erinnerung angesehen hast, erhältst du zufällig eine der folgenden Belohnungen: Münzen / EXP-Saft / Kristallmeißel / Brotdosen/Dias."
110201,Knopf Lv.1,"Nachdem du die Erinnerung angesehen hast, erhältst du eine bestimmte Menge an Knöpfen."
110202,Knopf Lv.2,"Nachdem du die Erinnerung angesehen hast, erhältst du eine bestimmte Menge an Knöpfen."
110203,Knopf Lv.3,"Nachdem du die Erinnerung angesehen hast, erhältst du eine bestimmte Menge an Knöpfen."
110204,Knopf Lv.4,"Nachdem du die Erinnerung angesehen hast, erhältst du eine bestimmte Menge an Knöpfen."
110205,Knopf Lv.5,"Nachdem du die Erinnerung angesehen hast, erhältst du eine bestimmte Menge an Knöpfen."
110206,Knopf Lv.6,"Nachdem du die Erinnerung angesehen hast, erhältst du eine bestimmte Menge an Knöpfen."
110301,Seidentuch Lv.1,"Nachdem du die Erinnerung angesehen hast, erhältst du eine bestimmte Menge an Seidentüchern."
